                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97195,                 2.3093,                 1.1637,                0.88304,                0.41375,                0.67134,                0.47246,                0.96941,                 3.5183,                  1.124,                0.00054,                0.00054,                0.00054
                      2,                 1.1014,                 1.9244,                 1.2141,                0.78376,                0.19879,                0.38551,                0.18835,                 1.8953,                 4.2947,                 1.8548,              0.0010782,              0.0010782,              0.0010782
                      3,                 1.2648,                 2.0363,                 1.3264,                0.65158,                0.56362,                0.59807,                0.30336,                 1.4321,                 3.2334,                 1.4656,              0.0015943,              0.0015943,              0.0015943
                      4,                 1.3043,                  1.976,                 1.3786,                0.18518,                0.17808,                0.14229,                0.05405,                 2.4315,                 3.8643,                 2.6388,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3646,                   1.92,                 1.4188,                0.48582,                0.32877,                0.33449,                0.17011,                  1.691,                 3.9867,                 1.7535,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.3298,                 1.7915,                 1.3677,                0.21539,                0.35351,                0.20298,                 0.0717,                 2.2413,                 3.3305,                 2.0341,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3283,                 1.6808,                 1.3655,                0.37953,                0.42466,                0.38265,                0.18624,                 1.7298,                 4.4244,                 1.6033,               0.001802,               0.001802,               0.001802
                      8,                 1.3221,                 1.5653,                 1.3424,                0.69398,                0.45205,                0.56877,                0.36541,                 1.3348,                 1.9203,                 1.3801,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2281,                  1.486,                  1.338,                 0.5849,                0.68493,                0.65228,                0.44221,                 1.1924,                 1.7785,                 1.3239,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.294,                 1.4201,                 1.3465,                0.63774,                0.65753,                0.72128,                0.46458,                 1.1182,                 1.8309,                 1.2131,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.1825,                 1.3097,                 1.2674,                0.64394,                0.64412,                0.64737,                0.40437,                 1.3659,                 1.6315,                 1.3898,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1696,                 1.2677,                 1.2529,                0.55865,                0.68493,                0.66673,                0.43883,                 1.2421,                 1.5826,                 1.2452,               0.001604,               0.001604,               0.001604
                     13,                  1.183,                  1.289,                 1.2771,                0.76112,                0.68493,                 0.7269,                0.49812,                 1.1373,                 1.2544,                 1.1768,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.1543,                 1.2356,                 1.2481,                0.79027,                0.72268,                0.80685,                0.55593,                 1.0577,                 1.3369,                  1.126,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.1576,                 1.1985,                 1.2565,                0.72096,                0.84943,                0.74364,                0.50841,                 1.0761,                  1.284,                  1.183,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.1612,                 1.2832,                  1.263,                0.73165,                0.71233,                0.72042,                0.50132,                 1.0999,                 1.2737,                 1.1913,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0906,                 1.2333,                 1.2276,                0.74986,                 0.7392,                0.78043,                0.54146,                0.98109,                 1.1526,                 1.1627,               0.001406,               0.001406,               0.001406
                     18,                 1.0656,                 1.1707,                 1.2076,                0.66785,                 0.7988,                0.77566,                0.55353,                0.95007,                 1.1042,                 1.1018,              0.0013664,              0.0013664,              0.0013664
                     19,                 0.9757,                  1.076,                 1.1623,                0.72466,                0.72603,                0.76398,                0.53124,                 1.0555,                 1.2514,                  1.147,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0131,                 1.0704,                 1.1761,                0.62181,                0.63066,                0.65107,                0.47844,                 1.1541,                  1.533,                 1.2894,              0.0012872,              0.0012872,              0.0012872
